ID;Модуль;Название теста;Предусловие;Шаги;Ожидаемый результат;Фактический результат;Статус;Приоритет;Автоматизация;Причина непокрытия
2.40;Создание новостей. Валидация поля Описание;Отправка поля с текстом, значительно превышающим лимит (5000);Пользователь авторизован. Открыт экран создания новости. В поля Категория, Заголовок, Дата публикации, Время заполнены валидными данными;1. В поле Описание ввести текст из 5000 символов\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Форма сохраняется. Новость отображается в панели управления (Панель управления);Failed;Low;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда.;
3.1;Редактирование новостей. Отправка пустой формы;Попытка сохранения с пустыми полями;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Все поля предзаполнены валидными данными;1. Очистить все обязательные поля\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поля подсвечены красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поля подсвечены красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
3.2;Редактирование новостей. Отправка формы с валидными данными;Обновление данных новости;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Все поля предзаполнены валидными данными;1. Внести валидные изменения в поля (например, дополнить заголовок)\n2. Кликнуть на кнопку Сохранить;Новость успешно обновлена. Изменения отображаются в Панель управления и в разделе Новости;Новость обновлена в Панель управления, но в разделе Новости список пустой;Blocked;High;No;Баг отображения: данные успешно обновляются на сервере, но не рендерятся в общем списке раздела Новости. Проверка полного цикла обновления невозможна до фикса.;
3.3;Редактирование новостей. Валидация поля Категория;Сохранение без выбора категории;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт через кнопку Update. Поля Заголовок, Date, Время, Описание предзаполнены валидными данными;1. Снять выбор категории в поле Категория (очистить поле)\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
3.4;Редактирование новостей. Валидация поля Заголовок;Ввод текста на латинице;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести латинские символы\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.5;Редактирование новостей. Валидация поля Заголовок;Ввод текста на кириллице;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести кириллические символы\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.6;Редактирование новостей. Валидация поля Заголовок;Ввод цифр;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести цифры\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.7;Редактирование новостей. Валидация поля Заголовок;Ввод специальных символов;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести символы\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.8;Редактирование новостей. Валидация поля Заголовок;Ввод пробела;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести пробел\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.9;Редактирование новостей. Валидация поля Заголовок;Очистка поля (пустое значение);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Сохранение не происходит. Поле подсвечено красным. Появляется уведомление "Заполните пустые поля";Passed;High;Yes;
3.10;Редактирование новостей. Валидация поля Заголовок;Ввод одного символа;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести один символ\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.11;Редактирование новостей. Валидация поля Заголовок;Ввод 100 символов (максимум);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести строку из 100 символов\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.12;Редактирование новостей. Валидация поля Заголовок;Ввод 99 символов (макс - 1);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести строку из 99 символов\n3. Кликнуть на кнопку Сохранить;Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Изменения сохраняются. Новость обновляется в панели управления (Панель управления);Passed;Medium;Yes;
3.13;Редактирование новостей. Валидация поля Заголовок;Ввод 101 символа (макс + 1);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести строку из 101 символа\n3. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Форма успешно сохраняется. Новость обновляется в панели управления (Панель управления);Failed;Medium;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда.;
3.14;Редактирование новостей. Валидация поля Заголовок;Ввод 500 символов (значительно превышает лимит);Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Date, Время, Описание предзаполнены валидными данными;1. Очистить поле Заголовок\n2. Ввести строку из 500 символов\n3. Кликнуть на кнопку Сохранить;Сохранение не происходит. Поле подсвечено красным. Появляется уведомление об ошибке валидации;Форма успешно сохраняется. Новость обновляется в панели управления (Панель управления);Failed;Low;No;Лимит длины поля не валидируется (форма успешно отправляется). Требуется уточнение ТЗ или правка на стороне бэкенда.;
3.15;Редактирование новостей. Валидация поля Дата публикации;Попытка выбора даты в далеком прошлом;Пользователь авторизован. В Панель управления есть сохранённая новость. Экран редактирования открыт. Поля Категория, Заголовок, Время, Описание предзаполнены валидными данными;1. Кликнуть на поле Дата публикации\n2. Попытаться выбрать дату в далеком прошлом\n3. Нажать кнопку OK;При нажатии OK выбранная дата автоматически заменяется на текущую. Изменения сохраняются;При нажатии OK выбранная дата автоматически заменяется на текущую. Изменения сохраняются;Passed;Medium;No;Виджет выбора времени — системный элемент Android. Его сложно автоматизировать, так как на разных телефонах он работает по-разному. То же самое уже проверяется в тестах 3.26-3.30
